time(s);clutchPressed;brakePressed;steeringWheelButtons;gearAct;engineTemp;oilTemp;wheel1;wheel2;wheel3;wheel4;speed;engineRpm;range;airPressEngine;fuelLevel1;fuelLevel2;engineTorque;batteryVoltage;avgCons;avgSpeed;throttlePercent;steeringPos;accelLong;accelCross;
0;1;0;0;0;FFF9;FFF1;0;0;0;0;0;0;0;0;0;0;0;11.8;5.5;0;0;0;0;0
0.25;1;0;0;0;FFF9;FFF1;0;0;0;0;0;0;0;0;0;0;0;11.9;5.5;0;0;0;0;0
0.5;1;0;0;0;FFF9;FFF1;0;0;0;0;0;0;0;0;0;0;0;12;5.5;0;0;0;0;0
0.75;1;0;0;0;FFF9;FFF1;0;0;0;0;0;0;0;0;0;0;0;12.1;5.5;0;0;0;0;0
1;1;0;0;0;FFF9;FFF1;0;0;0;0;0;0;0;0;0;0;0;12.2;5.5;0;0;0;0;0
1.25;1;0;0;0;FFF9;FFF1;0;0;0;0;0;0;0;0;0;0;0;12.3;5.5;0;0;0;0;0
1.5;1;0;0;0;FFFA;FFFA;0;0;0;0;0;0;0;0;0;0;0;12.4;5.5;0;0;0;0;0
1.75;1;0;0;0;FFFA;FFFA;0;0;0;0;0;0;0;0;0;0;0;12.5;5.5;0;0;0;0;0
2;1;0;0;0;FFFA;FFFA;0;0;0;0;0;0;0;0;0;0;0;12.6;5.5;0;0;0;0;0
2.25;1;0;0;0;FFFA;FFFA;0;0;0;0;0;0;0;0;0;0;0;12.7;5.5;0;0;0;0;0
2.5;1;1;0;0;FFFB;FFFB;0;0;0;0;0;0;0;0;0;0;0;12.8;5.5;0;0;0;0;0
2.75;1;1;0;0;FFFC;FFFC;0;0;0;0;0;0;0;0;0;0;0;12.9;5.5;0;0;0;0;0
3;1;1;0;0;FFFD;FFFD;0;0;0;0;0;0;0;0;0;0;0;13;5.5;0;0;0;0;0
3.25;1;1;0;0;FFFE;FFFE;0;0;0;0;0;0;0;0;0;0;0;13.1;5.5;0;0;0;0;0
3.5;1;1;0;0;FFFF;FFFF;0;0;0;0;0;0;0;0;0;0;0;13.2;5.5;0;0;0;0;0
3.75;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;13.3;5.5;0;0;0;0;0
4;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;13.4;5.5;0;0;0;0;0
4.25;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;13.5;5.5;0;0;0;0;0
4.5;0;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;13.6;5.5;0;0;0;0;0
4.75;0;1;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;13.7;5.5;0;0;0;0;0
5;0;1;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;13.8;5.5;0;0;0;0;0
5.25;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13.9;5.5;0;0;0;0;0
5.5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;5.5;0;0;0;0;0
5.75;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.1;5.5;0;0;0;0;0
6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.2;5.5;0;0;0;0;0
6.25;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.3;5.5;0;0;0;0;0
6.5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.4;5.5;0;0;0;0;0
6.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.5;5.5;0;0;0;0;0
7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.5;5.5;0;0;0;0;0
7.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.5;5.5;0;0;0;0;0
7.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.5;5.5;0;0;0;0;0
7.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.5;5.5;0;0;0;0;0
8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.5;5.5;0;0;0;0;0
8.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.5;5.5;0;0;0;0;0
8.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.5;5.5;0;0;0;0;0
8.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.5;5.5;0;0;0;0;0
9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.5;5.5;0;0;0;0;0
9.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.5;5.5;0;0;0;0;0
9.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.5;5.5;0;0;0;0;0
9.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.5;5.5;0;0;0;0;0
10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.5;5.5;0;0;0;0;0
